WISEAJ033633.0; Group12; Equatorial; J2000; 03:36:33.1; +62:40:26.1; Heliocentric; Optical; 405.6; N;
WISEAJ033724.0; Group02; Equatorial; J2000; 03:37:24.0; -13:25:55.0; Heliocentric; Optical; 119.9; N;
WISEAJ033847.5; Group02; Equatorial; J2000; 03:38:47.6; -27:42:49.0; Heliocentric; Optical; 233.8; N;
NGC1400; Group02; Equatorial; J2000; 03:39:30.8; -18:41:17.5; Heliocentric; Optical; 590.0; N;
WISEAJ033945.3; Group02; Equatorial; J2000; 03:39:45.4; -18:30:15.5; Heliocentric; Optical; 191.0; N;
WISEAJ034017.4; Group12; Equatorial; J2000; 03:40:17.5; +50:41:11.7; Heliocentric; Optical; 376.5; N;
LSBGF548-006; Group02; Equatorial; J2000; 03:40:33.8; -18:39:04.0; Heliocentric; Optical; 849.0; N;
ESO548-G073; Group02; Equatorial; J2000; 03:41:04.4; -19:05:40.0; Heliocentric; Optical; 976.1; N;
WISEAJ034109.3; Group02; Equatorial; J2000; 03:41:09.4; -29:04:59.8; Heliocentric; Optical; 431.7; N;
SDSSJ034457.74; Group02; Equatorial; J2000; 03:44:57.7; +01:09:01.4; Heliocentric; Optical; 744.2; N;
WISEAJ034535.9; Group12; Equatorial; J2000; 03:45:36.0; +49:29:37.3; Heliocentric; Optical; 418.2; N;
WISEAJ034559.4; Group02; Equatorial; J2000; 03:45:59.5; -12:31:49.5; Heliocentric; Optical; 955.1; N;
IC0342; Group20; Equatorial; J2000; 03:46:48.5; +68:05:46.9; Heliocentric; Optical; 30.9; N;
WISEAJ034920.3; Group12; Equatorial; J2000; 03:49:20.4; +50:29:16.9; Heliocentric; Optical; 440.1; N;
WISEAJ035223.8; Group12; Equatorial; J2000; 03:52:23.9; +39:18:23.3; Heliocentric; Optical; 404.4; N;
WISEAJ035233.1; Group20; Equatorial; J2000; 03:52:33.2; +71:05:31.3; Heliocentric; Optical; 836.0; N;
UGC02905; Group02; Equatorial; J2000; 03:57:00.1; +16:31:20.6; Heliocentric; Optical; 292.0; N;
UGCA086; Group20; Equatorial; J2000; 03:59:48.5; +67:08:18.4; Heliocentric; Optical; 66.9; N;
WISEAJ040000.6; Group12; Equatorial; J2000; 04:00:00.7; +40:59:20.0; Heliocentric; Optical; 588.5; N;
NGC1469; Group20; Equatorial; J2000; 04:00:27.8; +68:34:39.8; Heliocentric; Optical; 1042.2; N;
WISEAJ040132.5; Group12; Equatorial; J2000; 04:01:32.5; +40:48:33.1; Heliocentric; Optical; 927.3; N;
NGC1507; Group02; Equatorial; J2000; 04:04:27.2; -02:11:18.8; Heliocentric; Optical; 863.1; N;
NGC1485; Group20; Equatorial; J2000; 04:05:03.9; +70:59:46.9; Heliocentric; Optical; 1089.1; N;
WISEAJ040618.4; Group02; Equatorial; J2000; 04:06:18.4; -21:31:31.7; Heliocentric; Optical; 1010.0; N;
NGC1518; Group02; Equatorial; J2000; 04:06:49.8; -21:10:23.5; Heliocentric; Optical; 918.0; N;
IC0356; Group20; Equatorial; J2000; 04:07:46.9; +69:48:44.9; Heliocentric; Optical; 894.9; N;
UGC02955; Group20; Equatorial; J2000; 04:08:29.3; +69:40:21.4; Heliocentric; Optical; 890.1; N;
WISEAJ040903.9; Group02; Equatorial; J2000; 04:09:04.0; -08:37:36.4; Heliocentric; Optical; 894.0; N;
WISEAJ040912.3; Group12; Equatorial; J2000; 04:09:12.3; +39:03:46.9; Heliocentric; Optical; 1034.6; N;
WISEPJ041229.6; Group02; Equatorial; J2000; 04:12:29.6; +28:01:06.5; Heliocentric; Optical; 1014.8; N;
ESO483-G013; Group02; Equatorial; J2000; 04:12:41.1; -23:09:31.9; Heliocentric; Optical; 900.0; N;
WISEAJ041426.9; Group02; Equatorial; J2000; 04:14:26.9; +28:40:26.8; Heliocentric; Optical; 879.6; N;
WISEAJ041518.4; Group12; Equatorial; J2000; 04:15:18.4; +38:36:20.4; Heliocentric; Optical; 736.0; N;
WISEAJ041519.3; Group02; Equatorial; J2000; 04:15:19.4; +29:12:47.8; Heliocentric; Optical; 1022.6; N;
WISEAJ041520.9; Group02; Equatorial; J2000; 04:15:20.9; +27:55:58.1; Heliocentric; Optical; 842.7; N;
WISEAJ041531.0; Group02; Equatorial; J2000; 04:15:31.0; +27:49:05.1; Heliocentric; Optical; 951.5; N;
WISEAJ041952.5; Group02; Equatorial; J2000; 04:19:52.5; +28:00:23.8; Heliocentric; Optical; 858.6; N;
ESO550-G023; Group02; Equatorial; J2000; 04:20:12.7; -21:14:39.4; Heliocentric; Optical; 900.7; N;
UGCA090; Group02; Equatorial; J2000; 04:21:13.6; -21:50:44.4; Heliocentric; Optical; 897.9; N;
WISEAJ042222.9; Group02; Equatorial; J2000; 04:22:22.9; +27:43:10.7; Heliocentric; Optical; 410.4; N;
WISEAJ042229.4; Group02; Equatorial; J2000; 04:22:29.4; +37:07:01.2; Heliocentric; Optical; 1001.6; N;
WISEAJ042306.2; Group02; Equatorial; J2000; 04:23:06.2; +28:07:42.6; Heliocentric; Optical; 1017.5; N;
WISEAJ042319.0; Group02; Equatorial; J2000; 04:23:19.0; +36:52:39.5; Heliocentric; Optical; 338.5; N;
WISEAJ042334.2; Group02; Equatorial; J2000; 04:23:34.2; +27:51:33.6; Heliocentric; Optical; 888.3; N;
WISEAJ042407.8; Group02; Equatorial; J2000; 04:24:07.8; +36:58:47.1; Heliocentric; Optical; 699.1; N;
WISEAJ042452.5; Group02; Equatorial; J2000; 04:24:52.5; +26:42:04.4; Heliocentric; Optical; 1076.6; N;
WISEAJ042503.8; Group02; Equatorial; J2000; 04:25:03.8; +36:36:48.0; Heliocentric; Optical; 936.9; N;
CamA; Group20; Equatorial; J2000; 04:25:20.7; +72:48:29.3; Heliocentric; Optical; -46.5; N;
WISEAJ042804.2; Group02; Equatorial; J2000; 04:28:04.3; +37:39:51.3; Heliocentric; Optical; 377.1; N;
ESO421-IG002NE; Group02; Equatorial; J2000; 04:29:38.3; -27:24:27.1; Heliocentric; Optical; 947.9; N;
